,ID,yr,cm,annualprec,summerpdsi,wintertemp
1,290,1998,4,1.765,-0.795,5.633333333
2,290,2002,4.4,1.8056,-1.055,5.4
3,290,2004,4.8,1.8532,-0.795,5.1
4,290,2006,5.1,1.4533,-2.0425,5.666666667
5,290,2008,5.3,1.5392,-2.47,4.833333333
6,290,2010,5.2,1.4914,-1.5675,2.033333333
7,290,2011,5.1,2.0694,-0.3875,5.133333333
8,641,1998,48.3,1.765,-0.795,5.633333333
9,641,2002,48.8,1.8056,-1.055,5.4
10,641,2004,49.5,1.8532,-0.795,5.1
11,641,2006,50,1.4533,-2.0425,5.666666667
12,641,2008,50.3,1.5392,-2.47,4.833333333
13,641,2010,50.5,1.4914,-1.5675,2.033333333
14,641,2011,50.7,2.0694,-0.3875,5.133333333
15,12,1998,0.8,1.765,-0.795,5.633333333
16,12,2002,1.6,1.8056,-1.055,5.4
17,12,2004,1.3,1.8532,-0.795,5.1
18,12,2006,1.4,1.4533,-2.0425,5.666666667
19,12,2008,1.4,1.5392,-2.47,4.833333333
20,12,2010,1.3,1.4914,-1.5675,2.033333333
21,12,2011,1.3,2.0694,-0.3875,5.133333333
22,1120,2007,1.1,1.2303,-2.835,5.866666667
23,1120,2008,1.1,1.5392,-2.47,4.833333333
24,1120,2010,1.4,1.4914,-1.5675,2.033333333
25,1120,2011,1.3,2.0694,-0.3875,5.133333333
26,503,1998,8.8,1.765,-0.795,5.633333333
27,503,2002,9.1,1.8056,-1.055,5.4
28,503,2004,9.1,1.8532,-0.795,5.1
29,503,2006,9.1,1.4533,-2.0425,5.666666667
30,503,2008,8.8,1.5392,-2.47,4.833333333
31,503,2010,9.3,1.4914,-1.5675,2.033333333
32,503,2011,9.3,2.0694,-0.3875,5.133333333
33,735,1998,39.8,1.765,-0.795,5.633333333
34,735,2002,40.4,1.8056,-1.055,5.4
35,735,2004,40.4,1.8532,-0.795,5.1
36,735,2006,40.5,1.4533,-2.0425,5.666666667
37,735,2008,40.6,1.5392,-2.47,4.833333333
38,735,2010,40.9,1.4914,-1.5675,2.033333333
